gene,term
PV2T_000000,130310
PV2T_000001,130310
PV2T_000002,130310
PV2T_000003,130310
PV2T_000004,130310
PV2T_000005,130310
PV2T_000006,130310
PV2T_000007,130310
PV2T_000008,130310
PV2T_000009,130310
PV2T_000010,130310
PV2T_000011,130310
PV2T_000012,130310
PV2T_000013,130310
PV2T_000014,130310
PV2T_000015,130310
PV2T_000016,130310
PV2T_000017,130310
PV2T_000018,130310
PV2T_000019,130310
PV2T_000020,130310
PV2T_000021,130310
PV2T_000022,130310
PV2T_000023,130310
PV2T_000024,130310
PV2T_000025,130310
PV2T_000026,130310
PV2T_000027,130310
PV2T_000028,130310
PV2T_000029,130310
PV2T_000030,130310
PV2T_000031,130310
PV2T_000032,130310
PV2T_000033,130310
PV2T_000034,130310
PV2T_000035,130310
PV2T_000036,130310
PV2T_000037,130310
PV2T_000038,130310
PV2T_000039,130310
PV2T_000040,130310
PV2T_000041,130310
PV2T_000042,130310
PV2T_000043,130310
PV2T_000044,130310
PV2T_000045,130310
PV2T_000046,130310
PV2T_000047,130310
PV2T_000048,130310
PV2T_000049,130310
PV2T_000050,130310
PV2T_000051,130310
PV2T_000052,130310
PV2T_000053,130310
PV2T_000054,130310
PV2T_000055,130310
PV2T_000056,130310
PV2T_000057,130310
PV2T_000058,130310
PV2T_000059,130310
PV2T_000060,130310
PV2T_000061,130310
PV2T_000062,130310
PV2T_000063,130310
PV2T_000064,130310
PV2T_000065,130310
PV2T_000066,130310
PV2T_000067,130310
PV2T_000068,130310
PV2T_000069,130310
PV2T_000070,130310
PV2T_000071,130310
PV2T_000072,130310
PV2T_000073,130310
PV2T_000074,130310
PV2T_000075,130310
PV2T_000076,130310
PV2T_000077,130310
PV2T_000078,130310
PV2T_000079,130310
PV2T_000080,130310
PV2T_000081,130310
PV2T_000082,130310
PV2T_000083,130310
PV2T_000084,130310
PV2T_000085,130310
PV2T_000086,130310
PV2T_000087,130310
PV2T_000088,130310
PV2T_000089,130310
PV2T_000090,130310
PV2T_000091,130310
PV2T_000092,130310
PV2T_000093,130310
PV2T_000094,130310
PV2T_000095,130310
PV2T_000096,130310
PV2T_000097,130310
PV2T_000098,130310
PV2T_000099,130310
PV2T_000100,130310
PV2T_000101,130310
PV2T_000102,130310
PV2T_000103,130310
PV2T_000104,130310
PV2T_000105,130310
PV2T_000106,130310
