         term        gene
1       28876 PV2T_007943
2       28876 PV2T_007944
3       28876 PV2T_007945
4       28876 PV2T_007946
5       28876 PV2T_007947
6       28876 PV2T_007948
7       28876 PV2T_007949
8       28876 PV2T_007950
9       28876 PV2T_007951
10      28876 PV2T_007952
11      28876 PV2T_007953
12      28876 PV2T_007954
13      28876 PV2T_007955
14      28876 PV2T_007956
15      28876 PV2T_007957
16      28876 PV2T_007958
17      28876 PV2T_007959
18      28876 PV2T_013223
19      28876 PV2T_013231
20      28876 PV2T_013232
21      28876 PV2T_013235
22      28876 PV2T_013236
23      28876 PV2T_013247
24      28876 PV2T_013248
25      28876 PV2T_013249
26      28876 PV2T_013250
27      28876 PV2T_013251
28      28876 PV2T_013252
29      28876 PV2T_013259
30      28876 PV2T_013260
31      28876 PV2T_013261
32      28876 PV2T_013262
33      28876 PV2T_013272
34      28876 PV2T_013274
35      28876 PV2T_013279
36      28876 PV2T_013280
37      28876 PV2T_013281
38      28876 PV2T_013290
39      28876 PV2T_013291
40      28876 PV2T_013292
41      28876 PV2T_013293
42      28876 PV2T_013308
43      28876 PV2T_013309
44      28876 PV2T_013310
45      28876 PV2T_013311
46      28876 PV2T_013312
47      28876 PV2T_013321
48      28876 PV2T_013330
49      28876 PV2T_013331
50      28876 PV2T_013332
51      28876 PV2T_013338
52      28876 PV2T_013339
53      28876 PV2T_013343
54      28876 PV2T_013344
55      28876 PV2T_013345
56      28876 PV2T_013346
57      28876 PV2T_013359
58      28876 PV2T_013360
59      28876 PV2T_013361
60      28876 PV2T_013365
61      28876 PV2T_013366
62      28876 PV2T_013367
63      28876 PV2T_013368
64      28876 PV2T_013369
65      28876 PV2T_013370
66      28876 PV2T_013371
67      28876 PV2T_013372
68      28876 PV2T_013400
69      28876 PV2T_013401
70      28876 PV2T_013402
71      28876 PV2T_013403
72      28876 PV2T_013404
73      28876 PV2T_013405
74      28876 PV2T_013406
75      28876 PV2T_013407
76      28876 PV2T_013408
77      28876 PV2T_013409
78      28876 PV2T_013422
79      28876 PV2T_013437
80      28876 PV2T_013438
81      28876 PV2T_013439
82      28876 PV2T_013440
83      28876 PV2T_013441
84      28876 PV2T_013442
85      28876 PV2T_013452
86      28876 PV2T_013453
87      28876 PV2T_013454
88      28876 PV2T_013463
89      28876 PV2T_013464
90     694003 PV2T_001115
91     694003 PV2T_001116
92     694003 PV2T_001117
93     694003 PV2T_001118
